name,url
Intro to Python for Data Science,https://github.com/uc-python/intro-python-datasci.git
Intermediate Python for Data Science,https://github.com/uc-python/intermediate-python-datasci.git
Advanced Python for Data Science,https://github.com/uc-python/advanced-python-datasci.git
Intro to Python for Data Science -- Cincinnati Financial,https://github.com/uc-python/python-training-cincinnati-insurance.git
